"tag","mass","fruitnum","abortn","silique"
887,0.07,81,25,11.5
19,0.19,122,56,10
272,0.16,183,99,11.5
1342,0.15,200,79,6
482,0.15,162,110,12
152,0.14,184,61,5
1354,0.13,151,17,10.5
81,0.13,125,147,8
327,0.13,128,96,9
521,0.13,65,198,6
176,0.13,115,55,5
187,0.12,141,36,9.5
766,0.12,129,49,10.5
16,0.12,243,142,7
168,0.12,154,31,9
169,0.12,162,65,8.5
624,0.12,123,90,12.5
793,0.12,143,64,11
198,0.12,140,35,5
317,0.12,139,42,13.5
314,0.12,104,183,5
32,0.12,142,53,10
785,0.12,147,39,9
28,0.12,148,66,8
321,0.12,132,61,8.5
481,0.11,136,69,12.5
330,0.11,152,114,9
158,0.11,129,89,9
638,0.11,139,169,11
839,0.11,33,174,5
780,0.11,127,114,9.5
650,0.11,81,206,5
487,0.11,141,65,11
1352,0.11,139,112,8
485,0.11,103,78,6
1351,0.11,83,189,8
486,0.11,131,139,6
1339,0.11,127,94,9.5
164,0.11,123,137,10
1353,0.11,126,114,8
698,0.11,120,46,6
1122,0.11,74,71,11.5
644,0.11,183,117,10
370,0.1,7,191,10
387,0.1,97,32,12
280,0.1,124,52,11
373,0.1,111,62,9
654,0.1,169,78,8
742,0.1,76,86,8.5
634,0.1,123,43,7
938,0.1,140,88,9
203,0.1,107,73,5
772,0.1,124,60,13
191,0.1,127,63,10
153,0.1,98,104,12
64,0.1,94,18,5
492,0.1,129,69,5
149,0.1,113,95,7
617,0.1,115,33,9
218,0.1,83,58,11
305,0.1,71,169,6.5
17,0.1,105,52,12.5
436,0.1,125,152,10.5
326,0.1,132,132,6
304,0.1,125,64,7
1201,0.1,97,103,7.5
37,0.1,41,209,5
206,0.1,120,45,13.5
588,0.1,101,51,8.5
283,0.1,94,203,7
256,0.1,133,67,7.5
357,0.1,119,48,10.5
281,0.1,135,100,9
1198,0.1,62,85,7
137,0.1,41,204,5
181,0.1,106,67,11
29,0.1,132,74,12
524,0.1,94,38,8.5
331,0.1,124,84,6
641,0.1,132,93,6.5
651,0.1,148,90,10
627,0.1,77,41,6.5
278,0.1,134,163,11.5
613,0.1,93,105,6
71,0.1,101,166,12.5
23,0.09,102,44,7
145,0.09,102,118,8.5
215,0.09,34,135,10
282,0.09,97,92,11
477,0.09,105,59,8
74,0.09,91,126,8.5
290,0.09,115,139,8.5
140,0.09,114,47,5.5
286,0.09,136,100,7
230,0.09,90,42,10.5
1138,0.09,26,150,12
328,0.09,110,65,8.5
607,0.09,104,67,10
95,0.09,97,22,9.5
1343,0.09,116,112,12
188,0.09,99,44,12
318,0.09,128,75,5
263,0.09,109,57,8.5
109,0.09,111,70,10
543,0.09,94,58,5
83,0.09,113,118,6
776,0.09,107,89,5.5
369,0.09,67,102,8.5
534,0.09,47,196,8
156,0.09,117,101,6
354,0.09,118,171,10
1366,0.09,109,84,7
530,0.09,102,70,8.5
581,0.09,96,89,12
703,0.09,97,75,8.5
204,0.09,114,62,6
303,0.09,75,30,10
659,0.09,24,170,8
1341,0.09,109,98,10
148,0.09,116,82,12
84,0.09,97,134,6
90,0.09,41,143,6
295,0.09,109,112,7.5
291,0.09,33,146,6.5
390,0.09,122,76,5.5
494,0.08,94,69,12
207,0.08,102,69,9
200,0.08,84,16,9
116,0.08,87,125,6
1361,0.08,85,81,14
574,0.08,87,92,9.5
