"POT NUMBER","Treatment Type","Line","Pot","Treatment","Tray","Biomass","Fruit Number","Abort Number","Silique Length","Tray","Treatment","Pot","Height (mm)","Leaf #","rosdiam",,,,,,,,
1,"CONTROL","cs60000",1,"control",1,0.22,192,44,12.2,1,"control",1,302,47,7.88,147,33,12.5,,,,,
2,"CONTROL",50488,2,"control",1,".","ng",".",".",1,"control",2,"np",".",".",95,14,12.1,,,,,
3,"CONTROL",126600,3,"control",1,".","ns",".",".",1,"control",3,"np",".",".",,,,,,,,
4,"CONTROL","cs60000",4,"control",1,0.21,135,40,8.4,1,"control",4,322,45,7.23,,,,,,,,
5,"CONTROL",54680,5,"control",1,0.15,146,78,12.1,1,"control",5,399,20,8.08,,,,,,,,
6,"CONTROL",94332,6,"control",1,0.15,160,24,9.7,1,"control",6,395,26,9,179,76,14,481,61,,,
7,"CONTROL",150522,7,"control",1,".","ns",".",".",1,"control",7,"np",".",".",195,55,5.5,21,"high nutrients",420,370,102
8,"CONTROL",134535,8,"control",1,".","ns",".",".",1,"control",8,"np",".",".",,,,,,,,
9,"CONTROL",17933,9,"control",1,0.14,108,15,6.6,1,"control",9,355,37,6.31,,,,,,,,
10,"CONTROL",126600,10,"control",1,0.27,167,34,12.6,1,"control",10,404,43,8.42,,,,,,,,
11,"CONTROL",17933,11,"control",0,0,0,0,0,1,"control",11,"np",".",".",,,,,,,,
12,"CONTROL","ECOTYPE - 22645",12,"control",1,0.04,26,18,9.5,1,"control",12,124,17,3.08,,,,,,,,
13,"CONTROL",50488,13,"control",1,".","ns",".",".",1,"control",13,"np",".",".",,,,,,,,
14,"CONTROL",38957,14,"control",1,0.13,136,68,7.7,1,"control",14,322,69,9.83,,,,,,,,
15,"CONTROL",126600,15,"control",1,".","ns",".",".",1,"control",15,"np",".",".",,,,,,,,
16,"CONTROL",63722,16,"control",1,0.16,144,15,7.4,1,"control",16,368,43,6.31,,,,,,,,
17,"CONTROL",33462,17,"control",1,0.18,94,58,8.1,1,"control",17,244,60,8.76,,,,,,,,
18,"CONTROL",126600,18,"control",1,".","ns",".",".",1,"control",18,"np",".",".",,,,,,,,
19,"CONTROL",50488,19,"control",1,0.16,103,84,10.4,1,"control",19,322,36,8.84,,,,,,,,
20,"CONTROL",94332,20,"control",1,0.14,142,25,12.6,1,"control",20,414,30,8.63,,,,,,,,
21,"CONTROL",134535,21,"control",2,0.01,0,7,"0 n/a",2,"control",21,".",".",".",,,,,,,,
22,"CONTROL",134535,22,"control",2,0.17,125,41,5,2,"control",22,320,34,7.45,,,,,,,,
23,"CONTROL",126600,23,"control",2,0.21,148,34,7.5,2,"control",23,366,26,8.89,,,,,,,,
24,"CONTROL",33462,24,"control",2,".","ns",,,2,"control",24,"np",,".",,,,,,,,
25,"CONTROL",150522,25,"control",2,0.17,134,47,12.2,2,"control",25,309,41,9.67,,,,,,,,
26,"CONTROL","cs60000",26,"control",2,0.18,156,27,7.1,2,"control",26,334,26,7.84,,,,,,,,
27,"CONTROL",150522,27,"control",2,".","ns",".",".",2,"control",27,"np",".",".",,,,,,,,
28,"CONTROL",94332,28,"control",2,".","ng",".",".",2,"control",28,"np-ws",".",".",,,,,,,,
29,"CONTROL",59835,29,"control",2,".","ng",".",".",2,"control",29,"np-bs",".",".",,,,,,,,
30,"CONTROL",42704,30,"control",2,".","ng",".",".",2,"control",30,"np-bs",".",".",,,,,,,,
31,"CONTROL",63722,31,"control",2,".","ng",".",".",2,"control",31,"np-bs",".",".",,,,,,,,
32,"CONTROL",150522,32,"control",2,".","ns",".",".",2,"control",32,"np",".",".",,,,,,,,
33,"CONTROL",33462,33,"control",2,".","ns",".",".",2,"control",33,"np",".",".",,,,,,,,
34,"CONTROL","cs60000",34,"control",2,0.1,101,48,11.3,2,"control",34,234,25,7.01,,,,,,,,
35,"CONTROL",134535,35,"control",2,".","ns",".",".",2,"control",35,"np",".",".",,,,,,,,
36,"CONTROL",33462,36,"control",2,0.12,50,32,8.1,2,"control",36,254,31,8.4,,,,,,,,
37,"CONTROL",150522,37,"control",2,0.13,118,20,7.4,2,"control",37,424,13,8.98,,,,,,,,
38,"CONTROL",42704,38,"control",2,0.26,104,51,8.8,2,"control",38,340,52,9.94,,,,,,,,
39,"CONTROL",50488,39,"control",2,".","ns",".",".",2,"control",39,"np",".",".",,,,,,,,
40,"CONTROL",94332,40,"control",2,".","ng",".",".",2,"control",40,"np-ws",".",".",,,,,,,,
41,"CONTROL",33462,41,"control",2,".","ns",".",".",3,"control",41,"np",".",".",,,,,,,,
42,"CONTROL",38957,42,"control",3,0.12,113,51,13,3,"control",42,355,37,8.57,,,,,,,,
43,"CONTROL",126600,43,"control",3,0.2,153,47,11.5,3,"control",43,376,27,8.46,,,,,,,,
44,"CONTROL",38957,44,"control",3,".","ng",".",".",3,"control",44,"np",".",".",,,,,,,,
45,"CONTROL",59835,45,"control",3,0.07,54,38,10.5,3,"control",45,263,44,7.25,,,,,,,,
46,"CONTROL",54680,46,"control",3,".","ns",".",".",3,"control",46,"np",".",".",,,,,,,,
47,"CONTROL",33462,47,"control",3,".","ns",".",".",3,"control",47,"np",".",".",,,,,,,,
48,"CONTROL",33462,48,"control",3,0.18,106,30,9,3,"control",48,317,40,8.62,,,,,,,,
49,"CONTROL",17933,49,"control",3,".","ns",".",".",3,"control",49,"np",".",".",,,,,,,,
50,"CONTROL","ECOTYPE - 22623",50,"control",3,".","ns",".",".",3,"control",50,"np",".",".",,,,,,,,
51,"CONTROL",59835,51,"control",3,".","ns",".",".",3,"control",51,"np",".",".",,,,,,,,
52,"CONTROL",42704,52,"control",3,0.2,162,66,7,3,"control",52,300,30,10.7,,,,,,,,
53,"CONTROL",94332,53,"control",3,".","ns",".",".",3,"control",53,"np",".",".",,,,,,,,
54,"CONTROL",134535,54,"control",3,".","ns",".",".",3,"control",54,"np",".",".",,,,,,,,
55,"CONTROL",94332,55,"control",3,0.18,39,16,11.5,3,"control",55,303,50,9.64,,,,,,,,
56,"CONTROL",94332,56,"control",3,0.11,113,42,13.5,3,"control",56,348,46,10.4,,,,,,,,
57,"CONTROL",50488,57,"control",3,".","ng",".",".",3,"control",57,"np-ws",".",".",,,,,,,,
58,"CONTROL",63722,58,"control",3,".","ns",".",".",3,"control",58,"np",".",".",,,,,,,,
59,"CONTROL",42704,59,"control",3,0.12,98,14,9,3,"control",59,338,33,8.07,,,,,,,,
60,"CONTROL",54680,60,"control",3,".","ng",".",".",3,"control",60,"np-ws",".",".",,,,,,,,
61,"CONTROL",54680,61,"control",4,0.23,170,29,11.1,4,"control",61,388,46,10.81,,,,,,,,
62,"CONTROL",54680,62,"control",4,0.19,155,26,8.7,4,"control",62,369,37,9.03,,,,,,,,
63,"CONTROL",54680,63,"control",4,0.44,274,31,12,4,"control",63,489,69,14.25,,,,,,,,
64,"CONTROL","ECOTYPE - 1554",64,"control",4,".","ng",".",".",4,"control",64,"np-bs",".",".",,,,,,,,
65,"CONTROL",63722,65,"control",4,0.16,155,30,8.8,4,"control",65,369,35,11.13,,,,,,,,
66,"CONTROL",63722,66,"control",4,0.22,203,161,7.8,4,"control",66,450,47,10.7,,,,,,,,
67,"CONTROL",38957,67,"control",4,".","ng",".",".",4,"control",67,"np-ws",".",".",,,,,,,,
68,"CONTROL",134535,68,"control",4,".","ng",".",".",4,"control",68,"np-ws",".",".",,,,,,,,
