"GeneFamilyName","Function","Regulatory"
"MADS-box Transcription Factor Family","regulatory","yes"
"basic region leucine zipper (bZIP) Transcription Factor","regulatory","yes"
"Homeobox Transcription Factor Family","regulatory","yes"
"Glycoside Hydrolase Gene Families","metabolic","no"
"Glutathione S-transferase Family","metabolic","no"
"Acyl Lipid Metabolism Family","metabolic","no"
"Leucine-rich repeat extensin","structural","no"
"C3H Transcription Factor Family","regulatory","yes"
"bZIP Transcription Factor Family","regulatory","yes"
"Trihelix Transcription Factor Family","regulatory","yes"
"BBR/BPC-family of GAGA-motif binding transcription factors","regulatory","yes"
"Cytochrome P450","metabolic","no"
