"SALK_Line","germ","fitness","fitdev","treattype","fitmean","fitnogermmn","pot","treattype.badT","line","Pot2","tray","biomass","fruitnum","abortnum","silique","tray1","treat1","pot3","height","leaf","rosediam","surv","fitnogerm","fitdevng","fitdev.all","fitdevng.all","percent","Gene","tagnum","abortn","alive.at.harvest","treat","area.ratio","FamilySize","GeneFamilyName","SFamilySize","ratiocat","Regulatory"
"CS60000",0,0,-42.2222222222222,"nutrient",42.2222222222222,76,413,"HI WATER","cs60000",413,".",NA,0,".",".",21,"high nutrients",413,NA,NA,NA,1,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CS60000",0,0,-42.2222222222222,"nutrient",42.2222222222222,76,408,"HI WATER","cs60000",408,".",NA,0,".",".",21,"high nutrients",408,NA,NA,NA,1,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CS60000",0,0,-42.2222222222222,"nutrient",42.2222222222222,76,289,"HI WATER","cs60000",289,".",NA,0,".",".",15,"high nutrients",289,NA,NA,NA,1,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CS60000",0,0,-42.2222222222222,"nutrient",42.2222222222222,76,338,"HI WATER","cs60000",338,".",NA,0,".",".",17,"high nutrients",338,NA,NA,NA,1,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CS60000",1,0,-105.3,"control",105.3,105.3,104,"CONTROL","cs60000",104,"6",NA,0,".",".",6,"control",104,NA,NA,NA,0,0,-105.3,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CS60000",1,0,-105.3,"control",105.3,105.3,113,"CONTROL","cs60000",113,"6",NA,0,".",".",6,"control",113,NA,NA,NA,0,0,-105.3,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CS60000",1,0,-42.2222222222222,"nutrient",42.2222222222222,76,407,"HI WATER","cs60000",407,".",NA,0,".",".",21,"high nutrients",407,NA,NA,NA,0,0,-76,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CS60000",1,0,-42.2222222222222,"nutrient",42.2222222222222,76,360,"HI WATER","cs60000",360,".",NA,0,".",".",18,"high nutrients",360,NA,NA,NA,0,0,-76,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CS60000",1,0,-42.2222222222222,"nutrient",42.2222222222222,76,312,"HI WATER","cs60000",312,".",NA,0,".",".",16,"high nutrients",312,NA,NA,NA,0,0,-76,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CS60000",1,0,-12.5,"highwater",12.5,12.5,220,"FERTILIZER","cs60000",220,".",NA,0,".",".",11,"high H2O",220,NA,NA,NA,0,0,-12.5,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CS60000",1,0,-12.5,"highwater",12.5,12.5,216,"FERTILIZER","cs60000",216,".",NA,0,".",".",11,"high H2O",216,NA,NA,NA,0,0,-12.5,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CS60000",1,0,-12.5,"highwater",12.5,12.5,278,"FERTILIZER","cs60000",278,".",NA,0,".",".",14,"high H2O",278,NA,NA,NA,0,0,-12.5,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CS60000",1,0,-12.5,"highwater",12.5,12.5,236,"FERTILIZER","cs60000",236,"12",0,0,"7","0",12,"high H2O",236,20,9,1.88,1,0,-12.5,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CS60000",1,0,-12.5,"highwater",12.5,12.5,154,"FERTILIZER","cs60000",154,".",NA,0,".",".",8,"high H2O",154,NA,NA,NA,0,0,-12.5,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CS60000",1,0,-12.5,"highwater",12.5,12.5,163,"FERTILIZER","cs60000",163,".",NA,0,".",".",9,"high H2O",163,NA,NA,NA,0,0,-12.5,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
