"SALK_Line","fitdev","SuperGeneFamilyName","GeneFamilyName","Gene_Family","tagnum","mass","fruitnum","abortn","silique","fruits.removed","alive.at.harvest","treat","SALK_line","line","sown","germ","percent","comment","Gene","Source","Line_ID","Sub_Family","Gene_Name","Alternate_Gene_Name","Genomic_Locus.BAC.","Genomic_Locus_Tag","GI","Refseq_ID","Entrez_Gene_ID","Genbank_Nucleotide_Accession","Genbank_Protein_Accession","Protein_Function","Comments","Gene_Family_Criteria","Similar_Seq_or_Common_Domain","TAIR_Community_Accession_Person","TAIR_Community_Accession_Lab","TAIR_Publication_Reference","Pubmed_ID","Web_Page_URL","Web_Page_Title","FamilySize","delfield","cntrl","Freq","propabort","fitness","fitdevng","area.ratio","ratiocat","littleN","failedN","endo.area","tdna.area","Function","Regulatory","SFamilySize","reps"
"SALK_013968C",-38.8306545454545,"Leucine-rich repeat extensin","Leucine-rich repeat extensin","Leucine-rich repeat extensin",1041,NA,NA,0,NA,0,NA,"treat","SALK_013968c","013968c",17,3,17.65,"","AT4G18670","salk","SALK_013968","Leucine-rich repeat extensin","AtLRX5","NULL","F28A21","At4g18670","NM_117983 ","NP_193602.1","NULL","NULL","NULL","cell wall protein","NULL","defined by signal peptide for protein export, leucine-rich repeat domain, and extensin (hydroxyproline-rich glycoprotein domain) and specifically expressed in pollen (PEX)","NULL","912379","NULL","501683540","12644681","NULL","NULL",9,0,"Treatments",11,NA,0,NA,2.900868906,"1.5 -> Inf",6,NA,261.935,731.2385,"structural","no",9,3
"SALK_013968C",-38.8306545454545,"Leucine-rich repeat extensin","Leucine-rich repeat extensin","Leucine-rich repeat extensin",1041,NA,NA,0,NA,0,NA,"treat","SALK_013968c","013968c",17,3,17.65,"","AT4G18670","salk","SALK_013968","Leucine-rich repeat extensin","AtLRX5","NULL","F28A21","At4g18670","NM_117983 ","NP_193602.1","NULL","NULL","NULL","cell wall protein","NULL","defined by signal peptide for protein export, leucine-rich repeat domain, and extensin (hydroxyproline-rich glycoprotein domain) and specifically expressed in pollen (PEX)","NULL","912379","NULL","501683540","12644681","NULL","NULL",9,0,"Treatments",11,NA,0,NA,2.900868906,"1.5 -> Inf",6,NA,261.935,731.2385,"structural","no",9,3
"SALK_013968C",-38.8306545454545,"Leucine-rich repeat extensin","Leucine-rich repeat extensin","Leucine-rich repeat extensin",1042,0.03,3,62,5.5,3,1,"treat","SALK_013968c","013968c",17,3,17.65,"","AT4G18670","salk","SALK_013968","Leucine-rich repeat extensin","AtLRX5","NULL","F28A21","At4g18670","NM_117983 ","NP_193602.1","NULL","NULL","NULL","cell wall protein","NULL","defined by signal peptide for protein export, leucine-rich repeat domain, and extensin (hydroxyproline-rich glycoprotein domain) and specifically expressed in pollen (PEX)","NULL","912379","NULL","501683540","12644681","NULL","NULL",9,0,"Treatments",11,0.953846153846154,0.5295,-45.6725663716814,2.900868906,"1.5 -> Inf",6,NA,261.935,731.2385,"structural","no",9,3
"SALK_013968C",-38.8306545454545,"Leucine-rich repeat extensin","Leucine-rich repeat extensin","Leucine-rich repeat extensin",1041,NA,NA,0,NA,0,NA,"treat","SALK_013968c","013968c",17,3,17.65,"","AT4G18670","salk","SALK_013968","Leucine-rich repeat extensin","AtLRX5","NULL","F28A21","At4g18670","NM_117983 ","NP_193602.1","NULL","NULL","NULL","cell wall protein","NULL","defined by signal peptide for protein export, leucine-rich repeat domain, and extensin (hydroxyproline-rich glycoprotein domain) and specifically expressed in pollen (PEX)","NULL","912379","NULL","501683540","12644681","NULL","NULL",9,0,"Treatments",11,NA,0,NA,2.900868906,"1.5 -> Inf",6,NA,261.935,731.2385,"structural","no",9,3
"SALK_013968C",-38.8306545454545,"Leucine-rich repeat extensin","Leucine-rich repeat extensin","Leucine-rich repeat extensin",1041,NA,NA,NA,NA,0,0,"treat","SALK_013968c","013968c",17,3,17.65,"","AT4G18670","salk","SALK_013968","Leucine-rich repeat extensin","AtLRX5","NULL","F28A21","At4g18670","NM_117983 ","NP_193602.1","NULL","NULL","NULL","cell wall protein","NULL","defined by signal peptide for protein export, leucine-rich repeat domain, and extensin (hydroxyproline-rich glycoprotein domain) and specifically expressed in pollen (PEX)","NULL","912379","NULL","501683540","12644681","NULL","NULL",9,0,"Treatments",11,NA,0,NA,2.900868906,"1.5 -> Inf",6,NA,261.935,731.2385,"structural","no",9,3
"SALK_013968C",-38.8306545454545,"Leucine-rich repeat extensin","Leucine-rich repeat extensin","Leucine-rich repeat extensin",1041,NA,NA,0,NA,0,NA,"treat","SALK_013968c","013968c",17,3,17.65,"","AT4G18670","salk","SALK_013968","Leucine-rich repeat extensin","AtLRX5","NULL","F28A21","At4g18670","NM_117983 ","NP_193602.1","NULL","NULL","NULL","cell wall protein","NULL","defined by signal peptide for protein export, leucine-rich repeat domain, and extensin (hydroxyproline-rich glycoprotein domain) and specifically expressed in pollen (PEX)","NULL","912379","NULL","501683540","12644681","NULL","NULL",9,0,"Treatments",11,NA,0,NA,2.900868906,"1.5 -> Inf",6,NA,261.935,731.2385,"structural","no",9,3
"SALK_013968C",-38.8306545454545,"Leucine-rich repeat extensin","Leucine-rich repeat extensin","Leucine-rich repeat extensin",1041,NA,NA,0,NA,0,NA,"treat","SALK_013968c","013968c",17,3,17.65,"","AT4G18670","salk","SALK_013968","Leucine-rich repeat extensin","AtLRX5","NULL","F28A21","At4g18670","NM_117983 ","NP_193602.1","NULL","NULL","NULL","cell wall protein","NULL","defined by signal peptide for protein export, leucine-rich repeat domain, and extensin (hydroxyproline-rich glycoprotein domain) and specifically expressed in pollen (PEX)","NULL","912379","NULL","501683540","12644681","NULL","NULL",9,0,"Treatments",11,NA,0,NA,2.900868906,"1.5 -> Inf",6,NA,261.935,731.2385,"structural","no",9,3
"SALK_013968C",-38.8306545454545,"Leucine-rich repeat extensin","Leucine-rich repeat extensin","Leucine-rich repeat extensin",1041,NA,NA,0,NA,0,NA,"treat","SALK_013968c","013968c",17,3,17.65,"","AT4G18670","salk","SALK_013968","Leucine-rich repeat extensin","AtLRX5","NULL","F28A21","At4g18670","NM_117983 ","NP_193602.1","NULL","NULL","NULL","cell wall protein","NULL","defined by signal peptide for protein export, leucine-rich repeat domain, and extensin (hydroxyproline-rich glycoprotein domain) and specifically expressed in pollen (PEX)","NULL","912379","NULL","501683540","12644681","NULL","NULL",9,0,"Treatments",11,NA,0,NA,2.900868906,"1.5 -> Inf",6,NA,261.935,731.2385,"structural","no",9,3
"SALK_013968C",-38.8306545454545,"Leucine-rich repeat extensin","Leucine-rich repeat extensin","Leucine-rich repeat extensin",1043,0.03,29,10,7,0,1,"treat","SALK_013968c","013968c",17,3,17.65,"","AT4G18670","salk","SALK_013968","Leucine-rich repeat extensin","AtLRX5","NULL","F28A21","At4g18670","NM_117983 ","NP_193602.1","NULL","NULL","NULL","cell wall protein","NULL","defined by signal peptide for protein export, leucine-rich repeat domain, and extensin (hydroxyproline-rich glycoprotein domain) and specifically expressed in pollen (PEX)","NULL","912379","NULL","501683540","12644681","NULL","NULL",9,0,"Treatments",11,0.256410256410256,5.1185,-19.6725663716814,2.900868906,"1.5 -> Inf",6,NA,261.935,731.2385,"structural","no",9,3
"SALK_013968C",-38.8306545454545,"Leucine-rich repeat extensin","Leucine-rich repeat extensin","Leucine-rich repeat extensin",1041,NA,NA,0,NA,0,NA,"treat","SALK_013968c","013968c",17,3,17.65,"","AT4G18670","salk","SALK_013968","Leucine-rich repeat extensin","AtLRX5","NULL","F28A21","At4g18670","NM_117983 ","NP_193602.1","NULL","NULL","NULL","cell wall protein","NULL","defined by signal peptide for protein export, leucine-rich repeat domain, and extensin (hydroxyproline-rich glycoprotein domain) and specifically expressed in pollen (PEX)","NULL","912379","NULL","501683540","12644681","NULL","NULL",9,0,"Treatments",11,NA,0,NA,2.900868906,"1.5 -> Inf",6,NA,261.935,731.2385,"structural","no",9,3
