"SALK_line","line","sown","germ","percent","comment"
"SALK_033801","033801-bulk-t4",19,23,100,
"SALK_004048c","004048c",11,13,100,
"SALK_033666c","033666c",11,12,100,
"SALK_008986c","008986c",11,12,100,
"SALK_001014C","001014C",11,12,100,
"SALK_054680c","054680c",12,13,100,
"SALK_008202c","008202c",12,13,100,
"SALK_132285c","132285c",12,12,100,
"SALK_094844c","094844c",12,12,100,
"SALK_135114c","135114c",11,11,100,
"SALK_cs60000","cs60000",15,15,100,
"SALK_006954c","006954c",13,13,100,
"SALK_149325c","149325c",14,14,100,
"SALK_126600c","126600c",14,14,100,
"SALK_144264c","144264c",12,12,100,
"SALK_008924c","008924c",11,11,100,
"SALK_129274c","129274c",12,12,100,
"SALK_094332c","094332c",14,14,100,
"SALK_cs60000","cs60000",15,15,100,
"SALK_098302c","098302c",14,14,100,
"SALK_036539c","036539c",12,12,100,
"SALK_086457c","086457c",13,13,100,
"SALK_067236","067236-bulk-t4",25,25,100,
"SALK_125264c","125264c",8,8,100,
"SALK_108266C","108266C",12,12,100,
"SALK_038445C","038445C",11,11,100,
"SALK_059835c","059835c",12,12,100,
"SALK_104706C","104706C",13,13,100,
"SALK_018248C","018248C",11,11,100,
"SALK_021006c","021006c",13,13,100,
"SALK_023712c","023712c",13,13,100,"1 tricot"
"SALK_119315C","119315C",19,18,94.74,
"SALK_cs60000","cs60000",15,14,93.33,
"SALK_cs60000","cs60000",15,14,93.33,
"SALK_cs60000","cs60000",15,14,93.33,
"SALK_148182c","148182c",15,14,93.33,
"SALK_cs60000","cs60000",15,14,93.33,
"SALK_027691c","027691c",15,14,93.33,
"SALK_115125c","115125c",15,14,93.33,
"SALK_cs60000","cs60000",15,14,93.33,
"SALK_043475c","043475c",14,13,92.86,
"SALK_011841c","011841c",13,12,92.31,
"SALK_031830c","031830c",13,12,92.31,
"SALK_104701C","104701C",13,12,92.31,
"SALK_087083c","087083c",13,12,92.31,
"SALK_024341","024341-bult-t4",25,23,92,
"SALK_087636c","087636c",12,11,91.67,
"SALK_004073C","004073C",12,11,91.67,
"SALK_016764C","016764C",12,11,91.67,
"SALK_019565c","019565c",12,11,91.67,
"SALK_069450c","069450c",12,11,91.67,
"SALK_011213c","011213c",11,10,90.91,
"SALK_043219c","043219c",25,22,88,
"SALK_074274c","074274c",15,13,86.67,
"SALK_cs60000","cs60000",15,13,86.67,
"SALK_042624c","042624c",14,12,85.71,
"SALK_045623c","045623c",14,12,85.71,
"SALK_149150c","149150c",14,12,85.71,
"SALK_033462c","033462c",14,12,85.71,
"SALK_097633c","097633c",14,12,85.71,
"SALK_141554c","141554c",13,11,84.62,
"SALK_109171C","109171C",13,11,84.62,
"SALK_140350c","140350c",13,11,84.62,
"SALK_144638c","144638c",13,11,84.62,
"SALK_113353c","113353c",25,21,84,
"SALK_074379c","074379c",12,10,83.33,
"SALK_134703c","134703c",12,10,83.33,
"SALK_102656c","102656c",12,10,83.33,
"SALK_017933c","017933c",12,10,83.33,
"SALK_121097c","121097c",11,9,81.82,
"SALK_057747c","057747c",11,9,81.82,
"SALK_063722c","063722c",16,13,81.25,
"SALK_063976c","063976c",15,12,80,
"SALK_cs60000","cs60000",15,12,80,
"SALK_150987c","150987c",19,15,78.95,
"SALK_058604C","058604C",14,11,78.57,
"SALK_066755C","066755C",14,11,78.57,
"SALK_000234C","000234C",14,11,78.57,
"SALK_033323c","033323c",14,11,78.57,
"SALK_027697c","027697c",14,11,78.57,
"SALK_103724c","103724c",14,11,78.57,
"SALK_011077c","011077c",13,10,76.92,
"SALK_135544c","135544c",13,10,76.92,
"SALK_145362c","145362c",16,12,75,
"SALK_120841C","120841C",11,8,72.73,
"SALK_058993c","058993c",14,10,71.43,
"SALK_142877c","142877c",13,9,69.23,
"SALK_015609c","015609c",12,8,66.67,
"SALK_025133c","025133c",12,8,66.67,
"SALK_cs60000","cs60000",15,10,66.67,
"SALK_037779c","037779c",12,8,66.67,
"SALK_072966c","072966c",12,8,66.67,
"SALK_031536c","031536c",14,9,64.29,
"SALK_108221c","108221c",11,7,63.64,
"SALK_016682c","016682c",11,7,63.64,
"SALK_009120c","009120c",13,8,61.54,
"SALK_069385c","069385c",13,8,61.54,
"SALK_127261c","127261c",13,8,61.54,
"SALK_072465c","072465c",17,10,58.82,
"SALK_042704c","042704c",12,7,58.33,
"SALK_050488c","050488c",12,7,58.33,
"SALK_107859c","107859c",19,11,57.89,
"SALK_056385c","056385c",14,8,57.14,
"SALK_095299c","095299c",16,9,56.25,
"SALK_006054c","006054c",18,10,55.56,
"SALK_023733c","023733c",13,7,53.85,
"SALK_040514c","040514c",13,7,53.85,
"SALK_124095c","124095c",13,7,53.85,
"SALK_149402c","149402c",13,7,53.85,
"SALK_030336c","030336c",13,7,53.85,
"SALK_138872c","138872c",18,9,50,
"SALK_002098C","002098C",16,8,50,
"SALK_019635c","019635c",10,5,50,
"SALK_134535c","134535c",13,6,46.15,
"SALK_005336c","005336c",11,5,45.45,
"SALK_084513c","084513c",13,5,38.46,
"SALK_127828c","127828c",13,5,38.46,
"SALK_133498c","133498c",11,4,36.36,
"SALK_091420c","091420c",14,5,35.71,
"SALK_118043c","118043c",12,4,33.33,
"SALK_061729c","061729c",13,4,30.77,
"SALK_150522c","150522c",10,3,30,
"SALK_038957C","038957C",11,3,27.27,
"SALK_142894c","142894c",12,3,25,
"SALK_013968c","013968c",17,3,17.65,
"SALK_062171c","062171c",14,2,14.29,
"SALK_097868c","097868c",10,1,10,
"SALK_122146c","122146c",13,1,7.69,
"SALK_096122","096122c",22,1,4.55,
"SALK_008897c","008897c",11,0,0,
"SALK_067086c","067086c",13,0,0,
"SALK_105941","105941c",,20,,
"SALK_030664c","030664c",,11,,
