"treattype","line","fitness","fitnogerm"
"1","control","017933",50.7,56.3333333333333
"2","highwater","017933",1.6,1.77777777777778
"3","nutrient","017933",205.888888888889,205.888888888889
"4","control","033462",61.6,61.6
"5","highwater","033462",1.8,2
"6","nutrient","033462",122.3,135.888888888889
"7","control","038957",41.6,69.3333333333333
"8","highwater","038957",1.1,1.83333333333333
"9","nutrient","038957",17.7777777777778,40
"10","control","042704",88.2,98
"11","highwater","042704",4.8,5.33333333333333
"12","nutrient","042704",103.1,114.555555555556
"13","control","050488",54.3,67.875
"14","highwater","050488",5.4,9
"15","nutrient","050488",28.7,41
"16","control","054680",105.9,117.666666666667
"17","highwater","054680",5.5,5.5
"18","nutrient","054680",147.6,147.6
"19","control","059835",82.4,103
"20","highwater","059835",3.6,4
"21","nutrient","059835",173.8,173.8
"22","control","063722",109.1,136.375
"23","highwater","063722",12.1,13.4444444444444
"24","nutrient","063722",88,88
"25","control","094332",70.6,88.25
"26","highwater","094332",4.8,4.8
"27","nutrient","094332",96.1111111111111,96.1111111111111
"28","control","126600",69.8,69.8
"29","highwater","126600",3.1,3.44444444444444
"30","nutrient","126600",198.5,220.555555555556
"31","control","134535",12.5,15.625
"32","highwater","134535",0,0
"33","nutrient","134535",21,52.5
"34","control","150522",54.7,60.7777777777778
"35","highwater","150522",15.3,25.5
"36","nutrient","150522",110.7,110.7
"37","control","cs60000",105.3,105.3
"38","highwater","cs60000",12.5,12.5
"39","nutrient","cs60000",42.2222222222222,76
"40","control","ECOTYPE - 1376",66,66
"41","nutrient","ECOTYPE - 1376",0,0
"42","highwater","ECOTYPE - 1436",0,0
"43","control","ECOTYPE - 1554",0,NA
"44","nutrient","ECOTYPE - 1554",79,79
"45","control","ECOTYPE - 22587",0,0
"46","highwater","ECOTYPE - 22587",0,0
"47","control","ECOTYPE - 22594",192,192
"48","nutrient","ECOTYPE - 22594",0,0
"49","control","ECOTYPE - 22623",0,0
"50","highwater","ECOTYPE - 22623",43.5,87
"51","nutrient","ECOTYPE - 22623",0,NA
"52","control","ECOTYPE - 22631",148,148
"53","highwater","ECOTYPE - 22631",0,0
"54","nutrient","ECOTYPE - 22631",148,148
"55","highwater","ECOTYPE - 22635",0,0
"56","nutrient","ECOTYPE - 22635",84.5,84.5
"57","control","ECOTYPE - 22645",26,26
"58","nutrient","ECOTYPE - 22645",116,116
"59","control","ECOTYPE - 6885",155,155
"60","highwater","ECOTYPE - 6885",0,NA
