"SALK_Line","endolocus","endo.area","tdna.area","area.ratio","littleN","failedN","ratiocat"
"COL70000","PetC",858.442,NA,NA,3,1,NA
"CS22596","PetC",1105.799,NA,NA,1,0,NA
"CS22617","PetC",NA,NA,NA,0,3,NA
"CS22647","PetC",2378.678,NA,NA,1,1,NA
"CS22652","PetC",2454.263,NA,NA,1,0,NA
"CS22658","PetC",1907.5065,NA,NA,2,0,NA
"SALK_000062C","PetC",3250.26866666667,NA,NA,3,3,NA
"SALK_000083C","PetC",214.142,NA,NA,1,1,NA
"SALK_000104C","PetC",1857.335,1261.971,0.67945254894782,1,0,"0.5 -> 1.5"
"SALK_000136C","PetC",382.435,1064.971,2.78471112738112,1,1,"1.5 -> Inf"
"SALK_000174C","PetC",620.885,794.324,1.27295304682242,2,0,"0.5 -> 1.5"
"SALK_000207C","PetC",146.814,1333.092,9.00715200727266,2,0,"1.5 -> Inf"
"SALK_000212C","PetC",1921.1525,3352.2235,1.74633910290416,2,1,"1.5 -> Inf"
"SALK_000234C","PetC",NA,NA,NA,0,3,NA
"SALK_000250C","PetC",3518.82275,6358.69925,2.67176495033461,4,1,"1.5 -> Inf"
"SALK_000253C","PetC",855.617666666667,1134.8345,1.63106570753992,3,5,"1.5 -> Inf"
"SALK_000258C","PetC",203.7885,2130.713,10.6416655550676,2,0,"1.5 -> Inf"
"SALK_000281C","PetC",1015.734,8297.2005,8.41973225113033,2,0,"1.5 -> Inf"
"SALK_000296C","PetC",315.435,412.435,1.30751184871685,1,1,"0.5 -> 1.5"
"SALK_000345C","PetC",19.536,258.142,13.2136568386568,1,1,"1.5 -> Inf"
"SALK_000441C","PetC",NA,NA,NA,0,1,NA
"SALK_000474C","PetC",NA,NA,NA,0,10,NA
"SALK_000586C","PetC",NA,NA,NA,0,6,NA
"SALK_000590C","PetC",58.364,1106.799,13.3438249605921,2,0,"1.5 -> Inf"
"SALK_000600C","PetC",1145.123,3159.437,2.75354999406823,2,4,"1.5 -> Inf"
"SALK_000617C","PetC",923.0065,897.153,0.951088712185673,2,0,"0.5 -> 1.5"
