"Accession","Strains","gene"
"SALK_024341",0,""
"SALK_033801",0,""
"SALK_096122",0,""
"SALK_067236",0,""
"SALK_127828C",0,"AT1G05230"
"SALK_058604C",0,"AT1G08320"
"SALK_127261C",0,"AT1G17920"
"SALK_033666C",0,"AT1G18470"
"SALK_086457C",0,"AT1G23210"
"SALK_108266C",0,"AT1G23380"
"SALK_001014C",0,"AT1G43700"
"SALK_027697C",0,"AT1G50440"
"SALK_091420C",0,"AT1G51930"
"SALK_140350C",0,"AT1G52150"
"SALK_124095C",0,"AT1G54060"
"SALK_002098C",0,"AT1G62990"
"SALK_063722C",0,"AT1G64390"
"SALK_095299C",0,"AT1G65300"
"SALK_006954C",0,"AT1G65610"
"SALK_094844C",0,"AT1G68690"
"SALK_098302C",0,"AT1G70710"
"SALK_036539C",0,"AT1G74410"
"SALK_150522C",0,"AT1G74550"
"SALK_021006C",0,"AT1G74990"
"SALK_030336C",0,"AT1G75430"
"SALK_133498C",0,"AT1G75940"
"SALK_125264C",0,"AT1G76130"
"SALK_072465C",0,"AT1G76880"
"SALK_033323C",0,"AT2G01500"
"SALK_072966C",0,"AT2G01930"
"SALK_150987C",0,"AT2G15530"
"SALK_087083C",0,"AT2G15880"
"SALK_018248C",0,"AT2G16770"
"SALK_042624C",0,"AT2G21235"
"SALK_135114C",0,"AT2G22120"
"SALK_019565C",0,"AT2G22630"
"SALK_149402C",0,"AT2G23760"
"SALK_043219C",0,"AT2G25410"
"SALK_104706C",0,"AT2G30580"
"SALK_033462C",0,"AT2G32370"
"SALK_074274C",0,"AT2G32990"
"SALK_008924C",0,"AT2G34710"
"SALK_066755C",0,"AT2G35000"
"SALK_023712C",0,"AT2G37950"
"SALK_109171C",0,"AT2G39100"
"SALK_042704C",0,"AT2G39930"
"SALK_004048C",0,"AT2G40950"
"SALK_097633C",0,"AT2G44450"
"SALK_084513C",0,"AT2G44480"
"SALK_120841C",0,"AT2G44580"
"SALK_121097C",0,"AT2G44910"
"SALK_006054C",0,"AT2G45660"
"SALK_054680C",0,"AT3G07120"
"SALK_058993C",0,"AT3G10000"
"SALK_132285C",0,"AT3G10800"
"SALK_074379C",0,"AT3G11470"
"SALK_126600C",0,"AT3G15850"
"SALK_069385C",0,"AT3G18080"
"SALK_037779C",0,"AT3G18650"
"SALK_094332C",0,"AT3G18930"
"SALK_031536C",0,"AT3G19020"
"SALK_043475C",0,"AT3G19290"
"SALK_144264C",0,"AT3G19510"
"SALK_129274C",0,"AT3G26730"
"SALK_104701C",0,"AT3G57230"
"SALK_062171C",0,"AT3G61150"
"SALK_017933C",0,"AT3G62710"
"SALK_016764C",0,"AT4G13100"
"SALK_149325C",0,"AT4G15440"
"SALK_059835C",0,"AT4G17460"
"SALK_141554C",0,"AT4G17710"
"SALK_000234C",0,"AT4G22950"
"SALK_015609C",0,"AT4G26580"
"SALK_038445C",0,"AT4G30370"
"SALK_023733C",0,"AT4G32880"
"SALK_113353C",0,"AT4G32980"
"SALK_142877C",0,"AT4G33940"
"SALK_138872C",0,"AT4G34000"
"SALK_069450C",0,"AT4G34610"
"SALK_005336C",0,"AT4G35040"
"SALK_027691C",0,"AT4G36730"
"SALK_115125C",0,"AT4G36740"
"SALK_009120C",0,"AT4G36870"
"SALK_135544C",0,"AT4G37730"
"SALK_134703C",0,"AT5G01380"
"SALK_102656C",0,"AT5G01980"
"SALK_057747C",0,"AT5G02030"
"SALK_144638C",0,"AT5G03680"
"SALK_016682C",0,"AT5G03790"
"SALK_011213C",0,"AT5G07360"
"SALK_008202C",0,"AT5G10560"
"SALK_040514C",0,"AT5G12310"
"SALK_108221C",0,"AT5G13790"
"SALK_145362C",0,"AT5G14540"
"SALK_038957C",0,"AT5G24540"
"SALK_142894C",0,"AT5G54990"
"SALK_050488C",0,"AT5G59340"
"SALK_118043C",0,"AT5G64440"
"SALK_148182C",0,"AT5G66070"
"SALK_107859C",1,"AT1G22510"
"SALK_061729C",1,"AT1G31140"
"SALK_019635C",1,"AT1G34650"
"SALK_008986C",1,"AT1G77290"
"SALK_063976C",1,"AT2G02770"
"SALK_025133C",1,"AT2G03000"
"SALK_056385C",1,"AT2G46495"
"SALK_013968C",1,"AT4G18670"
"SALK_103724C",1,"AT5G38740"
"SALK_119315C",1,"AT5G42260"
"SALK_045623C",1,"AT5G65050"
"SALK_149150C",2,"AT4G11050"
"SALK_103724C",2,"AT5G38740"
"SALK_119315C",2,"AT5G42260"
"SALK_119315C",3,"AT5G42260"
"SALK_011841C",5,"AT4G02235"
"SALK_119315C",5,"AT5G42260"
"SALK_119315C",8,"AT5G42260"
"SALK_063976C",9,"AT2G02770"
"SALK_134535C",13,"AT2G01430"
"SALK_063976C",14,"AT2G02770"
"SALK_056385C",15,"AT2G46495"
"SALK_011077C",26,"AT5G15800"
"SALK_063976C",28,"AT2G02770"
"SALK_004073C",68,"AT1G70510"
"SALK_CS60000",NA,""
