"GeneFamilyName","SALK_Line","tagnum","fruits.removed","alive.at.harvest","treat","SALK_line","line","sown","germ","percent","comment","Gene_Family","Gene","Source","Line_ID","Sub_Family","Gene_Name","Alternate_Gene_Name","Genomic_Locus.BAC.","Genomic_Locus_Tag","GI","Refseq_ID","Entrez_Gene_ID","Genbank_Nucleotide_Accession","Genbank_Protein_Accession","Protein_Function","Comments","Gene_Family_Criteria","Similar_Seq_or_Common_Domain","TAIR_Community_Accession_Person","TAIR_Community_Accession_Lab","TAIR_Publication_Reference","Pubmed_ID","Web_Page_URL","Web_Page_Title","gene.family.size","delfield","cntrl","Freq"
"Acyl Lipid Metabolism Family","SALK_063976C",194,0,1,"treat","SALK_063976c","063976c",15,12,80,"","Acyl Lipid Metabolism Family","AT2G02770","salk","SALK_063976","Cytosolic Holo-ACP Synthase","NULL","NULL","T20F6.9","At2g02770","NULL","NULL","NULL","NULL","NULL","expressed protein","NULL","NULL","NULL","612141;2760","NULL","501706969","12805597","http://www.plantbiology.msu.edu/lipids/genesurvey/index.htm","NULL",385,0,"Treatments",610
"Acyl Lipid Metabolism Family","SALK_011213C",713,0,1,"treat","SALK_011213c","011213c",11,10,90.91,"","Acyl Lipid Metabolism Family","AT5G07360","salk","SALK_011213","Fatty Acid Amide Hydrolase ","NULL","NULL","T2I1.70","At5g07360","NULL","NULL","NULL","NULL","NULL","amidase -related","NULL","NULL","NULL","612141;2760","NULL","501706969","12805597","http://www.plantbiology.msu.edu/lipids/genesurvey/index.htm","NULL",385,0,"Treatments",610
"Acyl Lipid Metabolism Family","SALK_149325C",346,0,1,"treat","SALK_149325c","149325c",14,14,100,"","Acyl Lipid Metabolism Family","AT4G15440","salk","SALK_149325","Hydroperoxide Lyase","NULL","NULL","FCAALL.125","At4g15440","NULL","NULL","NULL","NULL","NULL","hydroperoxide lyase (HPOL) like protein","NULL","NULL","NULL","612141;2760","NULL","501706969","12805597","http://www.plantbiology.msu.edu/lipids/genesurvey/index.htm","NULL",385,0,"Treatments",610
"Acyl Lipid Metabolism Family","SALK_074379C",1264,0,1,"treat","SALK_074379c","074379c",12,10,83.33,"","Acyl Lipid Metabolism Family","AT3G11470","salk","SALK_074379","Plastidial Holo-ACP Synthase","NULL","NULL","F24K9.14","At3g11470","NULL","NULL","NULL","NULL","NULL","expressed protein","NULL","NULL","NULL","612141;2760","NULL","501706969","12805597","http://www.plantbiology.msu.edu/lipids/genesurvey/index.htm","NULL",385,0,"Treatments",610
"Acyl Lipid Metabolism Family","SALK_149325C",341,0,1,"treat","SALK_149325c","149325c",14,14,100,"","Acyl Lipid Metabolism Family","AT4G15440","salk","SALK_149325","Hydroperoxide Lyase","NULL","NULL","FCAALL.125","At4g15440","NULL","NULL","NULL","NULL","NULL","hydroperoxide lyase (HPOL) like protein","NULL","NULL","NULL","612141;2760","NULL","501706969","12805597","http://www.plantbiology.msu.edu/lipids/genesurvey/index.htm","NULL",385,0,"Treatments",610
"Acyl Lipid Metabolism Family","SALK_074379C",1266,0,1,"treat","SALK_074379c","074379c",12,10,83.33,"","Acyl Lipid Metabolism Family","AT3G11470","salk","SALK_074379","Plastidial Holo-ACP Synthase","NULL","NULL","F24K9.14","At3g11470","NULL","NULL","NULL","NULL","NULL","expressed protein","NULL","NULL","NULL","612141;2760","NULL","501706969","12805597","http://www.plantbiology.msu.edu/lipids/genesurvey/index.htm","NULL",385,0,"Treatments",610
"Acyl Lipid Metabolism Family","SALK_063976C",192,0,1,"treat","SALK_063976c","063976c",15,12,80,"","Acyl Lipid Metabolism Family","AT2G02770","salk","SALK_063976","Cytosolic Holo-ACP Synthase","NULL","NULL","T20F6.9","At2g02770","NULL","NULL","NULL","NULL","NULL","expressed protein","NULL","NULL","NULL","612141;2760","NULL","501706969","12805597","http://www.plantbiology.msu.edu/lipids/genesurvey/index.htm","NULL",385,0,"Treatments",610
"Acyl Lipid Metabolism Family","SALK_149325C",345,0,1,"treat","SALK_149325c","149325c",14,14,100,"","Acyl Lipid Metabolism Family","AT4G15440","salk","SALK_149325","Hydroperoxide Lyase","NULL","NULL","FCAALL.125","At4g15440","NULL","NULL","NULL","NULL","NULL","hydroperoxide lyase (HPOL) like protein","NULL","NULL","NULL","612141;2760","NULL","501706969","12805597","http://www.plantbiology.msu.edu/lipids/genesurvey/index.htm","NULL",385,0,"Treatments",610
"Acyl Lipid Metabolism Family","SALK_149325C",348,0,1,"treat","SALK_149325c","149325c",14,14,100,"","Acyl Lipid Metabolism Family","AT4G15440","salk","SALK_149325","Hydroperoxide Lyase","NULL","NULL","FCAALL.125","At4g15440","NULL","NULL","NULL","NULL","NULL","hydroperoxide lyase (HPOL) like protein","NULL","NULL","NULL","612141;2760","NULL","501706969","12805597","http://www.plantbiology.msu.edu/lipids/genesurvey/index.htm","NULL",385,0,"Treatments",610
"Acyl Lipid Metabolism Family","SALK_074379C",1269,3,1,"treat","SALK_074379c","074379c",12,10,83.33,"","Acyl Lipid Metabolism Family","AT3G11470","salk","SALK_074379","Plastidial Holo-ACP Synthase","NULL","NULL","F24K9.14","At3g11470","NULL","NULL","NULL","NULL","NULL","expressed protein","NULL","NULL","NULL","612141;2760","NULL","501706969","12805597","http://www.plantbiology.msu.edu/lipids/genesurvey/index.htm","NULL",385,0,"Treatments",610
