"tagnum","line","SALK_Line","fruits.removed","alive.at.harvest","comments"
1,"066755c","SALK_066755C",0,0,
2,"066755c","SALK_066755C",3,1,
3,"066755c","SALK_066755C",0,1,
4,"066755c","SALK_066755C",0,0,
5,"066755c","SALK_066755C",0,1,
6,"066755c","SALK_066755C",0,1,
7,"066755c","SALK_066755C",0,1,
8,"066755c","SALK_066755C",0,0,
9,"066755c","SALK_066755C",0,1,
10,"038957c","SALK_038957C",0,0,
11,"038957c","SALK_038957C",3,1,
12,"038957c","SALK_038957C",0,0,
13,"038957c","SALK_038957C",0,0,
14,"108266c","SALK_108266C",0,0,
15,"108266c","SALK_108266C",0,1,
16,"108266c","SALK_108266C",0,1,
17,"108266c","SALK_108266C",0,1,
18,"108266c","SALK_108266C",0,1,
19,"108266c","SALK_108266C",0,1,
20,"108266c","SALK_108266C",0,1,
21,"108266c","SALK_108266C",0,0,
22,"108266c","SALK_108266C",0,0,
23,"108266c","SALK_108266C",3,1,
24,"108266c","SALK_108266C",0,1,
25,"108266c","SALK_108266C",0,0,
26,"109171c","SALK_109171C",0,1,
27,"109171c","SALK_109171C",3,1,
28,"109171c","SALK_109171C",0,1,
29,"109171c","SALK_109171C",0,1,
30,"109171c","SALK_109171C",0,0,
31,"109171c","SALK_109171C",0,1,
32,"109171c","SALK_109171C",0,1,
33,"109171c","SALK_109171C",0,1,
34,"109171c","SALK_109171C",0,1,
35,"109171c","SALK_109171C",0,1,
36,"109171c","SALK_109171C",0,1,
37,"104706c","SALK_104706C",0,1,
38,"104706c","SALK_104706C",0,1,
39,"104706c","SALK_104706C",0,1,
40,"104706c","SALK_104706C",0,1,
41,"104706c","SALK_104706C",3,1,
42,"104706c","SALK_104706C",0,1,
43,"104706c","SALK_104706C",0,1,
44,"104706c","SALK_104706C",0,1,
45,"104706c","SALK_104706C",0,1,
46,"104706c","SALK_104706C",0,1,
47,"104706c","SALK_104706C",0,1,
48,"104706c","SALK_104706C",0,0,
49,"104706c","SALK_104706C",0,1,
50,"038445c","SALK_038445C",0,1,
51,"038445c","SALK_038445C",0,1,
52,"038445c","SALK_038445C",0,0,
53,"038445c","SALK_038445C",3,1,
54,"038445c","SALK_038445C",0,0,
55,"038445c","SALK_038445C",0,0,
56,"038445c","SALK_038445C",0,1,
57,"038445c","SALK_038445C",0,1,
58,"038445c","SALK_038445C",0,0,
59,"038445c","SALK_038445C",0,1,
60,"038445c","SALK_038445C",0,1,
61,"108221c","SALK_108221C",0,1,
62,"108221c","SALK_108221C",0,0,
63,"108221c","SALK_108221C",3,1,
64,"108221c","SALK_108221C",0,1,
65,"108221c","SALK_108221C",0,0,
66,"108221c","SALK_108221C",0,1,
67,"108221c","SALK_108221C",0,0,
68,"074274c","SALK_074274C",0,1,
69,"074274c","SALK_074274C",0,1,
70,"074274c","SALK_074274C",0,1,
71,"074274c","SALK_074274C",0,1,
72,"074274c","SALK_074274C",0,1,
73,"074274c","SALK_074274C",0,0,
74,"074274c","SALK_074274C",0,1,
75,"074274c","SALK_074274C",0,1,
76,"074274c","SALK_074274C",0,1,
77,"074274c","SALK_074274C",3,1,
