"GeneFamilyName","mn","n","sd","se","Freq"
"Acyl Lipid Metabolism Family",71.0814285714286,7,35.2406476617421,13.3197128219742,610
"basic region leucine zipper (bZIP) Transcription Factor",84.4575,12,18.9557159165538,5.4720438435522,74
"BBR/BPC-family of GAGA-motif binding transcription factors",66.67,1,NA,NA,7
"bZIP Transcription Factor Family",93.33,1,NA,NA,73
"C3H Transcription Factor Family",80.8122222222222,27,21.1257892585075,4.06566003841421,165
"Cytochrome P450",30,1,NA,NA,261
"Glutathione S-transferase Family",100,1,NA,NA,53
"Glycoside Hydrolase Gene Families",72.9041176470588,17,30.7250655123027,7.45192296830862,379
"Homeobox Transcription Factor Family",71.6665384615385,26,22.6308334698142,4.43827159505582,91
"Leucine-rich repeat extensin",58.0833333333333,4,37.7149961332801,18.8574980666401,11
"MADS-box Transcription Factor Family",62.6171428571429,14,30.2733608280312,8.09089601176257,108
"Trihelix Transcription Factor Family",75.2928571428571,7,15.8545090476765,5.99244115702509,29
